Year,Province,Productivity
2003,Ninh_Binh,43.70277078085642
2004,Ninh_Binh,51.29441624365482
2005,Ninh_Binh,36.06217616580311
2006,Ninh_Binh,52.5974025974026
2007,Ninh_Binh,52.74869109947644
2008,Ninh_Binh,53.89312977099237
2009,Ninh_Binh,56.75879396984925
2010,Ninh_Binh,55.34177215189873
2011,Ninh_Binh,55.05102040816326
2012,Ninh_Binh,55.521628498727736
2013,Ninh_Binh,48.0
2014,Ninh_Binh,54.22279792746114
2015,Ninh_Binh,53.27127659574468
2016,Ninh_Binh,51.99460916442048
2017,Ninh_Binh,45.13661202185792
2018,Ninh_Binh,53.31428571428572
2019,Ninh_Binh,53.72727272727273
2020,Ninh_Binh,54.10094637223975
2000,Thai_Binh,55.15981735159818
2001,Thai_Binh,50.12585812356979
2002,Thai_Binh,58.60277136258661
2003,Thai_Binh,40.15133876600698
2004,Thai_Binh,56.81924882629108
2005,Thai_Binh,46.38625592417061
2006,Thai_Binh,59.12887828162291
2007,Thai_Binh,62.043269230769226
2008,Thai_Binh,61.33174791914388
2009,Thai_Binh,62.03814064362336
2010,Thai_Binh,62.210274790919954
2011,Thai_Binh,59.15966386554622
2012,Thai_Binh,58.54345165238678
2013,Thai_Binh,58.73308733087331
2014,Thai_Binh,59.58179581795818
2015,Thai_Binh,60.383189122373295
2016,Thai_Binh,60.14925373134328
2017,Thai_Binh,47.21105527638191
2018,Thai_Binh,59.20152091254752
2019,Thai_Binh,60.451030927835056
2020,Thai_Binh,61.240310077519375
2000,Ha_Nam,48.55643044619423
2001,Ha_Nam,49.76377952755905
2002,Ha_Nam,51.76781002638523
2003,Ha_Nam,47.34042553191489
2004,Ha_Nam,50.18970189701897
2005,Ha_Nam,43.62637362637363
2006,Ha_Nam,52.27777777777778
2007,Ha_Nam,55.40389972144847
2008,Ha_Nam,56.29526462395543
2009,Ha_Nam,56.07843137254901
2010,Ha_Nam,55.15492957746479
2011,Ha_Nam,55.21246458923513
2012,Ha_Nam,57.01149425287357
2013,Ha_Nam,49.56395348837209
2014,Ha_Nam,53.44117647058823
2015,Ha_Nam,55.074183976261125
2016,Ha_Nam,54.1867469879518
2017,Ha_Nam,47.01538461538462
2018,Ha_Nam,55.26645768025079
2019,Ha_Nam,57.354838709677416
2020,Ha_Nam,57.788778877887786
